Aeropuerto de Salida,Aeropuerto de Llegada,Código de la Aerolínea,Número de Vuelo,Duración (Minutos),Precio (EUR),Fecha de Salida,Hora de Salida,Fecha de extracción
MAD,CDG,SK,9853,130,100.30,2025-02-04,17:55:00,2024-10-19
MAD,CDG,SK,9852,140,122.30,2025-02-04,06:00:00,2024-10-19
MAD,CDG,AF,1001,130,132.30,2025-02-04,10:00:00,2024-10-19
MAD,CDG,AF,1601,130,132.30,2025-02-04,16:20:00,2024-10-19
MAD,CDG,AF,1801,130,132.30,2025-02-04,17:55:00,2024-10-19
MAD,CDG,AF,1401,140,141.30,2025-02-04,06:00:00,2024-10-19
MAD,CDG,AF,1301,130,147.30,2025-02-04,12:25:00,2024-10-19
MAD,CDG,IB,585,130,151.80,2025-02-04,09:50:00,2024-10-19
MAD,CDG,6X,1281,130,153.80,2025-02-04,15:30:00,2024-10-19
MAD,CDG,IB,589,130,253.80,2025-02-04,15:50:00,2024-10-19
MAD,ORY,UX,1029,115,55.80,2025-02-04,14:25:00,2024-10-19
MAD,ORY,UX,1027,115,61.80,2025-02-04,08:00:00,2024-10-19
MAD,ORY,UX,1025,115,61.80,2025-02-04,16:30:00,2024-10-19
MAD,ORY,IB,579,125,95.80,2025-02-04,16:10:00,2024-10-19
MAD,ORY,IB,581,125,95.80,2025-02-04,18:05:00,2024-10-19
MAD,ORY,IB,583,125,95.80,2025-02-04,20:10:00,2024-10-19
MAD,ORY,IB,577,125,108.80,2025-02-04,14:30:00,2024-10-19
MAD,ORY,IB,573,125,127.80,2025-02-04,11:35:00,2024-10-19
MAD,ORY,IB,569,125,178.80,2025-02-04,07:25:00,2024-10-19
MAD,ORY,IB,571,125,178.80,2025-02-04,09:55:00,2024-10-19
MAD,CDG,SK,9852,140,100.30,2025-02-05,06:00:00,2024-10-19
MAD,CDG,IB,585,130,108.80,2025-02-05,09:50:00,2024-10-19
MAD,CDG,AF,1401,140,132.30,2025-02-05,06:00:00,2024-10-19
MAD,CDG,6X,1281,130,153.80,2025-02-05,15:30:00,2024-10-19
MAD,CDG,AF,1301,130,181.30,2025-02-05,12:25:00,2024-10-19
MAD,CDG,AF,1601,130,181.30,2025-02-05,16:20:00,2024-10-19
MAD,CDG,AF,1801,130,218.30,2025-02-05,17:55:00,2024-10-19
MAD,CDG,SK,9856,130,253.30,2025-02-05,16:20:00,2024-10-19
MAD,CDG,IB,589,130,253.80,2025-02-05,15:50:00,2024-10-19
MAD,CDG,SK,9853,130,337.30,2025-02-05,17:55:00,2024-10-19
MAD,ORY,UX,1027,115,55.80,2025-02-05,08:00:00,2024-10-19
MAD,ORY,UX,1025,115,55.80,2025-02-05,16:30:00,2024-10-19
MAD,ORY,UX,1029,115,61.80,2025-02-05,14:25:00,2024-10-19
MAD,ORY,IB,581,125,108.80,2025-02-05,18:05:00,2024-10-19
MAD,ORY,IB,583,125,108.80,2025-02-05,20:10:00,2024-10-19
