Actividad,Precio (Por persona),Confirmacion Inmediata,Cancelacion Gratuita,Valoracion,Nº Opiniones,Link,Fecha consulta
"Excursión a Pompeya, Positano y Costa Amalfitana desde Roma",260,,Cancelación gratuita,4,1167,https://www.hellotickets.es/italia/roma/excursion-pompeya-amalfi-y-positano-desde-roma/a/pa-296,2024-10-19 21:07:03.018222
Visita guiada privada de los Museos Vaticanos y la Capilla Sixtina,309,,No,4,552,https://www.hellotickets.es/italia/roma/tour-privado-vaticano/a/pa-196,2024-10-19 21:07:03.018222
Visita guiada al Palacio de Letrán en Roma,18,Si,No,4.5,1037,https://www.hellotickets.es/italia/roma/visita-guiada-palacio-letran/a/pa-2256,2024-10-19 21:07:03.018222
Billetes para el tren Leonardo Express desde Fiumicino al centro de Roma,20,Si,No,4.9,926,https://www.hellotickets.es/italia/roma/billetes-leonardo-express/a/pa-2260,2024-10-19 21:07:03.018222
Excursion a Tivoli: Villa del Este y Villa Adriana,103,,Cancelación gratuita,4.5,709,https://www.hellotickets.es/italia/roma/excursion-villa-este-y-villa-adriana-desde-roma/a/pa-291,2024-10-19 21:07:03.018222
Visita guiada a primera hora del Vaticano y la Capilla Sixtina,76,,Cancelación gratuita,,,https://www.hellotickets.es/italia/roma/visita-guiada-primera-hora-vaticano-y-capilla-sixtina/a/pa-153,2024-10-19 21:07:03.018222
Entradas para Cinecittà World en Roma,27,Si,Cancelación gratuita,4.8,420,https://www.hellotickets.es/italia/roma/entradas-cinecitta-world/a/pa-2249,2024-10-19 21:07:03.018222
Traslado en autobús desde el aeropuerto de Ciampino en Roma (ida y vuelta),6,Si,Cancelación gratuita,4.2,1005,https://www.hellotickets.es/italia/roma/traslado-autobus-aeropuerto-ciampino/a/pa-188,2024-10-19 21:07:03.018222
Entradas para la Galería Borghese,39,Si,Cancelación gratuita,4.5,1230,https://www.hellotickets.es/italia/roma/entradas-galeria-borghese/a/pa-284,2024-10-19 21:07:03.018222
Excursión a Pompeya desde Roma,128,Si,Cancelación gratuita,4.8,509,https://www.hellotickets.es/italia/roma/excursion-pompeya-desde-roma/a/pa-301,2024-10-19 21:07:03.018222
Entradas para el Foro Romano y el Monte Palatino con experiencia multimedia,37,,No,4.7,980,https://www.hellotickets.es/italia/roma/entradas-foro-romano-monte-palatino-experiencia-multimedia/a/pa-4638,2024-10-19 21:07:03.018222
Entradas para el Museo de Cera de Roma,11,Si,Cancelación gratuita,4.5,1268,https://www.hellotickets.es/italia/roma/entradas-museo-cera/a/pa-2253,2024-10-19 21:07:03.018222
Roma Super Pass con transporte público,108,,No,4.5,593,https://www.hellotickets.es/italia/roma/roma-super-pass/a/pa-2262,2024-10-19 21:07:03.018222
Visita guiada a la Galería Borghese,67,Si,No,4.8,1172,https://www.hellotickets.es/italia/roma/visita-guiada-galeria-borghese/a/pa-289,2024-10-19 21:07:03.018222
Excursión a Asís y Orvieto desde Roma con comida incluida,155,,Cancelación gratuita,4.7,1401,https://www.hellotickets.es/italia/roma/excursion-asis-y-orvieto-desde-roma/a/pa-186,2024-10-19 21:07:03.018222
Entradas para Palazzo Merulana en Roma,19,Si,Cancelación gratuita,4.4,910,https://www.hellotickets.es/italia/roma/entradas-palazzo-merulana/a/pa-2251,2024-10-19 21:07:03.018222
Entradas para el Bioparco de Roma,19,Si,No,4.6,1085,https://www.hellotickets.es/italia/roma/entradas-bioparco/a/pa-2247,2024-10-19 21:07:03.018222
Entradas para Archibasílica de San Juan de Letrán en Roma,16,Si,No,4.5,444,https://www.hellotickets.es/italia/roma/entradas-archibasilica-san-juan-letran/a/pa-2252,2024-10-19 21:07:03.018222
Entradas para el Palazzo Doria Pamphili en Roma,28,,Cancelación gratuita,4.4,837,https://www.hellotickets.es/italia/roma/entradas-palazzo-doria-pamphili/a/pa-2250,2024-10-19 21:07:03.018222
Excursión a Villa d'Este y Villa Adriana desde Roma con almuerzo,73,Si,Cancelación gratuita,4.8,1291,https://www.hellotickets.es/italia/roma/excursion-villa-este-y-villa-adriana-desde-roma-con-almuerzo/a/pa-160,2024-10-19 21:07:03.018222
Excursión a Ostia Antica desde Roma,49,Si,No,4.9,725,https://www.hellotickets.es/italia/roma/excursion-ostia-antica-desde-roma/a/pa-281,2024-10-19 21:07:03.018222
Escuela y museo de gladiadores en Roma,130,Si,Cancelación gratuita,4.4,786,https://www.hellotickets.es/italia/roma/escuela-gladiadores/a/pa-2255,2024-10-19 21:07:03.018222
Reserva con menú para el Hard Rock Cafe de Roma,20,Si,Cancelación gratuita,4.3,712,https://www.hellotickets.es/italia/roma/reserva-con-menu-hard-rock-cafe-roma/a/pa-216,2024-10-19 21:07:03.018222
Excursión a Venecia en tren de alta velocidad desde Roma,273,Si,Cancelación gratuita,4.7,1095,https://www.hellotickets.es/italia/roma/excursion-venecia-desde-roma/a/pa-257,2024-10-19 21:07:03.018222
"Tour en bicicleta eléctrica por la Vía Apia de Roma, los acueductos y las catacumbas",77,,Cancelación gratuita,4.5,1004,https://www.hellotickets.es/italia/roma/tour-bicicleta-electrica-via-apia-acueductos-y-catacumbras/a/pa-246,2024-10-19 21:07:03.018222
Visita guiada a la Cripta de los Capuchinos y a las Catacumbas en Roma,56,,Cancelación gratuita,4.9,929,https://www.hellotickets.es/italia/roma/visita-guiada-cripta-capuchinos/a/pa-220,2024-10-19 21:07:03.018222
Excursión a Siena y San Gimignano desde Roma con cata de vino,252,,Cancelación gratuita,4.8,516,https://www.hellotickets.es/italia/roma/excursion-siena-y-san-gimignano/a/pa-221,2024-10-19 21:07:03.018222
Entradas para los Museos Capitolinos de Roma,34,,Cancelación gratuita,4.5,923,https://www.hellotickets.es/italia/roma/entradas-museos-capitolinos/a/pa-248,2024-10-19 21:07:03.018222
Visita guiada al Coliseo y a la arena con entradas para el Foro Romano y el Monte Palatino,89,Si,No,4.7,544,https://www.hellotickets.es/italia/roma/visita-guiada-coliseo-arena-entradas-foro-romano-monte-palatino/a/pa-4635,2024-10-19 21:07:03.018222
Visita guiada en grupo pequeño a la Basílica de San Pedro y su cúpula,47,Si,Cancelación gratuita,,,https://www.hellotickets.es/italia/roma/visita-guiada-grupo-pequeno-basilica-san-pedro-cupula/a/pa-9005,2024-10-19 21:07:03.018222
Entradas para el Museo Leonardo Da Vinci Experience en Roma,15,,Cancelación gratuita,,,https://www.hellotickets.es/italia/roma/entradas-museo-leonardo-da-vinci-experience/a/pa-8999,2024-10-19 21:07:03.018222
Entradas para los subterráneos de Piazza Navona y el Districo de Trevi en Roma,24,,Cancelación gratuita,,,https://www.hellotickets.es/italia/roma/entradas-subterraneos-piazza-navona-trevi/a/pa-8784,2024-10-19 21:07:03.018222
Desayuno junto al Vaticano,8,,Cancelación gratuita,,,https://www.hellotickets.es/italia/roma/desayuno-vaticano/a/pa-8783,2024-10-19 21:07:03.018222
Aperitivo junto al Vaticano,19,,Cancelación gratuita,,,https://www.hellotickets.es/italia/roma/aperitivo-vaticano/a/pa-8782,2024-10-19 21:07:03.018222
Desayuno con vistas en Roma,15,,Cancelación gratuita,,,https://www.hellotickets.es/italia/roma/desayuno/a/pa-8781,2024-10-19 21:07:03.018222
Visita guiada a los Museos Vaticanos,92,,No,,,https://www.hellotickets.es/italia/roma/visita-guiada-museos-vaticanos/a/pa-8780,2024-10-19 21:07:03.018222
